"set" "map" "mkr" "phys" "gen"
"Hordeum vulgare" "chr2H" "12_10883" 416270790 69.05
"Hordeum vulgare" "chr2H" "11_20251" 418053504 68.56
"Hordeum vulgare" "chr2H" "11_10358" 420199403 67.08
"Hordeum vulgare" "chr2H" "11_11384" 432260849 69.79
"Hordeum vulgare" "chr2H" "11_20585" 434907700 72.03
"Hordeum vulgare" "chr2H" "12_20335" 443311453 70.54
"Hordeum vulgare" "chr2H" "11_11206" 447579727 69.05
"Hordeum vulgare" "chr2H" "11_20532" 452104090 72.99
"Hordeum vulgare" "chr2H" "11_20862" 453710813 67.08
"Hordeum vulgare" "chr2H" "11_10685" 454168657 72.99
"Hordeum vulgare" "chr2H" "12_11324" 457417065 72.99
"Hordeum vulgare" "chr2H" "11_20390" 457638626 72.99
"Hordeum vulgare" "chr2H" "11_20887" 457984432 72.99
"Hordeum vulgare" "chr2H" "12_11504" 457989681 72.99
"Hordeum vulgare" "chr2H" "12_30265" 462259584 72.99
"Hordeum vulgare" "chr2H" "11_10243" 463205788 67.08
"Hordeum vulgare" "chr2H" "11_10194" 464937964 67.08
"Hordeum vulgare" "chr2H" "11_10191" 468895885 72.99
"Hordeum vulgare" "chr2H" "11_21399" 470676341 72.99
"Hordeum vulgare" "chr2H" "12_30323" 473634764 72.99
"Hordeum vulgare" "chr2H" "12_10640" 474383348 72.03
"Hordeum vulgare" "chr2H" "12_30275" 475258998 72.99
"Hordeum vulgare" "chr2H" "11_10436" 477556716 72.99
"Hordeum vulgare" "chr2H" "11_10692" 477817700 73.35
"Hordeum vulgare" "chr2H" "11_10632" 479125906 73.35
"Hordeum vulgare" "chr2H" "11_10909" 479625943 72.99
"Hordeum vulgare" "chr2H" "11_20374" 479628086 73.89
"Hordeum vulgare" "chr2H" "12_31256" 479650790 73.89
"Hordeum vulgare" "chr2H" "11_20442" 481968659 73.89
"Hordeum vulgare" "chr2H" "11_11430" 483144847 73.89
"Hordeum vulgare" "chr2H" "12_11316" 484517585 73.89
"Hordeum vulgare" "chr2H" "12_30108" 489044408 72.99
"Hordeum vulgare" "chr2H" "12_21476" 491671881 74.55
"Hordeum vulgare" "chr2H" "12_31252" 491767397 74.55
"Hordeum vulgare" "chr2H" "11_21094" 492854235 75.3
"Hordeum vulgare" "chr2H" "12_30724" 498934400 72.99
"Hordeum vulgare" "chr2H" "12_11278" 499380027 73.89
"Hordeum vulgare" "chr2H" "11_11072" 502184271 77.76
"Hordeum vulgare" "chr2H" "12_11121" 505813545 76.61
"Hordeum vulgare" "chr2H" "11_21166" 508983124 75.95
"Hordeum vulgare" "chr2H" "11_21110" 510338546 76.61
"Hordeum vulgare" "chr2H" "11_20690" 516046308 78.54
"Hordeum vulgare" "chr2H" "12_10545" 517697131 77.76
"Hordeum vulgare" "chr2H" "11_21144" 518543209 78.54
"Hordeum vulgare" "chr2H" "12_11096" 520587976 79.92
"Hordeum vulgare" "chr2H" "11_10651" 531954037 79.82
"Hordeum vulgare" "chr2H" "11_10265" 534445620 80.14
"Hordeum vulgare" "chr2H" "11_10017" 535458091 81.31
"Hordeum vulgare" "chr2H" "11_21258" 536295539 80.36
"Hordeum vulgare" "chr2H" "12_30205" 539186342 82.44
"Hordeum vulgare" "chr2H" "11_21251" 539923198 82.44
"Hordeum vulgare" "chr2H" "11_20833" 540189713 82.44
"Hordeum vulgare" "chr2H" "11_10407" 541606921 82.44
"Hordeum vulgare" "chr2H" "12_31020" 541607129 82.44
"Hordeum vulgare" "chr2H" "12_31021" 541755568 82.44
"Hordeum vulgare" "chr2H" "12_10719" 543047126 82.44
"Hordeum vulgare" "chr2H" "11_21205" 544214806 82.98
"Hordeum vulgare" "chr2H" "12_10717" 544526898 82.98
"Hordeum vulgare" "chr2H" "12_31383" 544622565 84.96
"Hordeum vulgare" "chr2H" "11_20667" 545047871 83.7
"Hordeum vulgare" "chr2H" "11_20528" 545185071 84.35
"Hordeum vulgare" "chr2H" "11_20947" 546699561 84.96
"Hordeum vulgare" "chr2H" "12_10650" 546713450 84.96
"Hordeum vulgare" "chr2H" "11_11402" 547855197 84.96
"Hordeum vulgare" "chr2H" "11_21078" 548037549 84.96
"Hordeum vulgare" "chr2H" "11_20419" 548922193 85.52
"Hordeum vulgare" "chr2H" "11_21156" 549383700 85.52
"Hordeum vulgare" "chr2H" "12_30674" 549513192 85.52
"Hordeum vulgare" "chr2H" "11_20960" 550502087 85.73
"Hordeum vulgare" "chr2H" "12_31394" 550586480 85.52
"Hordeum vulgare" "chr2H" "11_20734" 554286607 86.58
"Hordeum vulgare" "chr2H" "11_10952" 554537356 86.58
"Hordeum vulgare" "chr2H" "12_11449" 555965096 86.58
"Hordeum vulgare" "chr2H" "12_30696" 557186268 89.68
"Hordeum vulgare" "chr2H" "11_10196" 558085833 89.68
"Hordeum vulgare" "chr2H" "11_11435" 558214818 89.68
"Hordeum vulgare" "chr2H" "12_31398" 558214818 89.68
"Hordeum vulgare" "chr2H" "11_10818" 558315675 90.48
"Hordeum vulgare" "chr2H" "11_20699" 559663721 91.11
"Hordeum vulgare" "chr2H" "12_20489" 560305729 90.48
"Hordeum vulgare" "chr2H" "12_31445" 560716546 90.48
"Hordeum vulgare" "chr2H" "12_11388" 561983672 89.68
"Hordeum vulgare" "chr2H" "12_31293" 562221637 93.26
"Hordeum vulgare" "chr2H" "12_10859" 565461006 93.26
"Hordeum vulgare" "chr2H" "11_10786" 565788356 94.25
"Hordeum vulgare" "chr2H" "11_21242" 565806986 94.25
"Hordeum vulgare" "chr2H" "11_11214" 567092752 95.58
"Hordeum vulgare" "chr2H" "11_10823" 567212878 95.58
"Hordeum vulgare" "chr2H" "11_11100" 568593648 96.23
"Hordeum vulgare" "chr2H" "11_20781" 568739892 96.23
"Hordeum vulgare" "chr2H" "11_20340" 570177475 98.74
"Hordeum vulgare" "chr2H" "11_10287" 570236808 98.74
"Hordeum vulgare" "chr2H" "12_30896" 570802336 99.39
"Hordeum vulgare" "chr2H" "12_30901" 570802689 99.39
"Hordeum vulgare" "chr2H" "12_30900" 570802904 99.39
"Hordeum vulgare" "chr2H" "12_30897" 570803230 99.39
"Hordeum vulgare" "chr2H" "12_31205" 573027766 99.39
"Hordeum vulgare" "chr2H" "11_11533" 573170429 100.05
"Hordeum vulgare" "chr2H" "11_10475" 574169879 101.3
"Hordeum vulgare" "chr2H" "12_31424" 578343457 101.72
"Hordeum vulgare" "chr2H" "11_21245" 578600546 101.72
"Hordeum vulgare" "chr2H" "12_10936" 578611495 101.72
"Hordeum vulgare" "chr2H" "11_21351" 582019418 102.38
"Hordeum vulgare" "chr2H" "12_10969" 582172693 102.38
"Hordeum vulgare" "chr2H" "11_21037" 582767903 101.3
"Hordeum vulgare" "chr2H" "11_21136" 582813388 101.3
"Hordeum vulgare" "chr2H" "11_11058" 583288390 102.38
"Hordeum vulgare" "chr2H" "12_20793" 584166349 103.13
"Hordeum vulgare" "chr2H" "11_10214" 589295646 105.62
"Hordeum vulgare" "chr2H" "11_20080" 591029685 107.04
"Hordeum vulgare" "chr2H" "11_21007" 591450142 107.04
"Hordeum vulgare" "chr2H" "12_10649" 593328726 108.58
"Hordeum vulgare" "chr2H" "12_30216" 593687536 107.92
"Hordeum vulgare" "chr2H" "11_10138" 593730327 108.58
"Hordeum vulgare" "chr2H" "11_21175" 594371900 108.58
"Hordeum vulgare" "chr2H" "12_11285" 594500960 108.58
"Hordeum vulgare" "chr2H" "11_11307" 594742721 109.29
"Hordeum vulgare" "chr2H" "11_20086" 596901527 110.93
"Hordeum vulgare" "chr2H" "11_11250" 597867353 111.59
"Hordeum vulgare" "chr2H" "11_10876" 597886038 112.26
"Hordeum vulgare" "chr2H" "11_20923" 599393095 113.53
"Hordeum vulgare" "chr2H" "12_30200" 599989972 113.53
"Hordeum vulgare" "chr2H" "11_10398" 600280664 113.53
"Hordeum vulgare" "chr2H" "11_10900" 601396092 114.34
"Hordeum vulgare" "chr2H" "12_21527" 601469998 114.34
"Hordeum vulgare" "chr2H" "11_11346" 601538260 114.34
"Hordeum vulgare" "chr2H" "12_30480" 601742252 117.17
"Hordeum vulgare" "chr2H" "11_20498" 601806948 116.5
"Hordeum vulgare" "chr2H" "12_30095" 601822272 117.17
"Hordeum vulgare" "chr2H" "11_21340" 602613365 116.5
"Hordeum vulgare" "chr2H" "12_30555" 605123885 118.39
"Hordeum vulgare" "chr2H" "11_11323" 605254810 118.39
"Hordeum vulgare" "chr2H" "11_11480" 605533809 118.39
"Hordeum vulgare" "chr2H" "11_10128" 609085074 124.98
"Hordeum vulgare" "chr2H" "11_10263" 609204711 124.98
"Hordeum vulgare" "chr2H" "11_20099" 609247100 124.29
"Hordeum vulgare" "chr2H" "11_21184" 610018519 124.98
"Hordeum vulgare" "chr2H" "11_20064" 610682704 124.98
"Hordeum vulgare" "chr2H" "12_31402" 612872543 125.97
"Hordeum vulgare" "chr2H" "11_11043" 613070214 125.97
"Hordeum vulgare" "chr2H" "11_10731" 613097431 124.98
"Hordeum vulgare" "chr2H" "11_10988" 613116960 124.98
"Hordeum vulgare" "chr2H" "11_10989" 613172059 125.97
"Hordeum vulgare" "chr2H" "11_10990" 613227625 125.97
"Hordeum vulgare" "chr2H" "11_21238" 613233766 125.97
"Hordeum vulgare" "chr2H" "11_11118" 613450486 128.87
"Hordeum vulgare" "chr2H" "12_21396" 614841135 129.3
"Hordeum vulgare" "chr2H" "11_10429" 615159774 130.38
"Hordeum vulgare" "chr2H" "12_20989" 615168665 130.38
"Hordeum vulgare" "chr2H" "11_20182" 615492313 127.74
"Hordeum vulgare" "chr2H" "11_11236" 615882083 127.74
"Hordeum vulgare" "chr2H" "12_30459" 616076399 131.03
"Hordeum vulgare" "chr2H" "11_10707" 617233959 131.69
"Hordeum vulgare" "chr2H" "11_10538" 617342318 133.04
"Hordeum vulgare" "chr2H" "12_31095" 617422252 133.04
"Hordeum vulgare" "chr2H" "11_10404" 618032575 133.71
"Hordeum vulgare" "chr2H" "12_10739" 618249753 134.29
"Hordeum vulgare" "chr2H" "11_10916" 618320949 134.35
"Hordeum vulgare" "chr2H" "12_31406" 619107425 136.33
"Hordeum vulgare" "chr2H" "11_10780" 620196496 137.03
"Hordeum vulgare" "chr2H" "12_31264" 620319070 135.68
"Hordeum vulgare" "chr2H" "12_30598" 620320120 135.68
"Hordeum vulgare" "chr2H" "11_21220" 620572438 136.33
"Hordeum vulgare" "chr2H" "11_20511" 621106655 137.03
"Hordeum vulgare" "chr2H" "11_11365" 621242558 138.04
"Hordeum vulgare" "chr2H" "12_30636" 621542846 138.04
"Hordeum vulgare" "chr2H" "11_21315" 621585465 138.04
"Hordeum vulgare" "chr2H" "12_30152" 621781308 138.04
"Hordeum vulgare" "chr2H" "12_30097" 622129450 139.29
"Hordeum vulgare" "chr2H" "11_20141" 622994827 139.29
"Hordeum vulgare" "chr2H" "11_20480" 623910217 140.69
"Hordeum vulgare" "chr2H" "11_10446" 624397014 140.69
"Hordeum vulgare" "chr2H" "11_20711" 624616939 143.71
"Hordeum vulgare" "chr2H" "11_21440" 624623248 140.69
"Hordeum vulgare" "chr2H" "12_30310" 625015959 140.69
"Hordeum vulgare" "chr2H" "12_30695" 625565029 142.01
"Hordeum vulgare" "chr2H" "11_21406" 625708941 142.67
"Hordeum vulgare" "chr2H" "12_31100" 625708941 142.67
"Hordeum vulgare" "chr2H" "11_21370" 626072657 143.18
"Hordeum vulgare" "chr2H" "11_11486" 626283674 143.18
"Hordeum vulgare" "chr2H" "11_10109" 626362578 143.71
"Hordeum vulgare" "chr2H" "12_20183" 626363847 145.03
"Hordeum vulgare" "chr2H" "11_10656" 627293451 145.69
"Hordeum vulgare" "chr2H" "11_20366" 627297903 145.69
"Hordeum vulgare" "chr2H" "12_30690" 627302968 145.69
"Hordeum vulgare" "chr2H" "11_21088" 627459673 145.69
"Hordeum vulgare" "chr2H" "12_31268" 628755233 147.37
"Hordeum vulgare" "chr2H" "11_21125" 628882543 146.72
"Hordeum vulgare" "chr2H" "12_30942" 628906375 147.37
"Hordeum vulgare" "chr2H" "12_10164" 628906648 147.37
"Hordeum vulgare" "chr2H" "12_30678" 629197950 147.37
"Hordeum vulgare" "chr2H" "12_10472" 629460931 147.37
"Hordeum vulgare" "chr2H" "11_10065" 629612805 147.37
"Hordeum vulgare" "chr2H" "11_20215" 629739238 147.37
"Hordeum vulgare" "chr2H" "11_10383" 630028807 147.37
"Hordeum vulgare" "chr2H" "11_11227" 631514833 149.27
"Hordeum vulgare" "chr2H" "11_10376" 631591187 149.27
"Hordeum vulgare" "chr2H" "11_20895" 633013269 149.27
"Hordeum vulgare" "chr2H" "12_10579" 633397875 149.93
"Hordeum vulgare" "chr2H" "12_30106" 633579734 151.92
"Hordeum vulgare" "chr2H" "12_30396" 634394889 151.92
"Hordeum vulgare" "chr2H" "11_20715" 636275614 151.92
"Hordeum vulgare" "chr2H" "12_30248" 637101847 154.03
"Hordeum vulgare" "chr2H" "12_30341" 637275450 154.65
"Hordeum vulgare" "chr2H" "11_21274" 637284793 154.39
"Hordeum vulgare" "chr2H" "11_21181" 637846202 155.68
"Hordeum vulgare" "chr2H" "11_20590" 637954475 154.65
"Hordeum vulgare" "chr2H" "12_10915" 637979825 154.59
"Hordeum vulgare" "chr2H" "12_30352" 639249707 156.77
"Hordeum vulgare" "chr2H" "12_31209" 639452393 156.77
"Hordeum vulgare" "chr2H" "12_20027" 640667613 155.68
"Hordeum vulgare" "chr2H" "11_20494" 640677288 155.68
"Hordeum vulgare" "chr2H" "11_10826" 640944733 155.68
"Hordeum vulgare" "chr2H" "11_11262" 640962164 156.77
"Hordeum vulgare" "chr2H" "12_30914" 641100196 156.77
"Hordeum vulgare" "chr2H" "11_10625" 641472322 156.77
"Hordeum vulgare" "chr2H" "11_10551" 641738154 156.77
"Hordeum vulgare" "chr2H" "11_10566" 641915979 157.26
"Hordeum vulgare" "chr2H" "12_20518" 643921969 158.18
"Hordeum vulgare" "chr2H" "12_10447" 644050737 158.18
"Hordeum vulgare" "chr2H" "11_11023" 644199951 158.6
"Hordeum vulgare" "chr2H" "11_10714" 644351163 159.11
"Hordeum vulgare" "chr2H" "11_21250" 644368314 159.62
"Hordeum vulgare" "chr2H" "12_10487" 644693938 159.62
"Hordeum vulgare" "chr2H" "12_10950" 644817665 159.62
"Hordeum vulgare" "chr2H" "12_11368" 644960789 160.46
"Hordeum vulgare" "chr2H" "11_11380" 645119304 160.46
"Hordeum vulgare" "chr2H" "12_10181" 645742897 160.46
"Hordeum vulgare" "chr2H" "11_20994" 646145536 160.46
"Hordeum vulgare" "chr2H" "11_20293" 646404154 161.3
"Hordeum vulgare" "chr2H" "11_21346" 646544012 161.3
"Hordeum vulgare" "chr2H" "11_20943" 648393323 163.19
"Hordeum vulgare" "chr2H" "11_21436" 650174607 164.35
"Hordeum vulgare" "chr2H" "11_10791" 650984475 164.35
"Hordeum vulgare" "chr2H" "11_10072" 652049222 165.28
"Hordeum vulgare" "chr2H" "12_31527" 653151281 165.28
"Hordeum vulgare" "chr2H" "11_20561" 654251937 169.66
"Hordeum vulgare" "chr2H" "12_10937" 654344481 166.6
"Hordeum vulgare" "chr2H" "12_31300" 654355549 166.6
"Hordeum vulgare" "chr2H" "11_10770" 654609035 167.66
"Hordeum vulgare" "chr2H" "11_21453" 654656740 168.26
"Hordeum vulgare" "chr2H" "11_21099" 654672334 168.26
"Hordeum vulgare" "chr2H" "12_31180" 654775965 168.26
"Hordeum vulgare" "chr2H" "11_10329" 654837686 168.26
"Hordeum vulgare" "chr2H" "11_10085" 657441100 169.66
"Hordeum vulgare" "chr2H" "12_11050" 658096996 169.66
"Hordeum vulgare" "chr2H" "11_20681" 658991359 169.66
"Hordeum vulgare" "chr2H" "12_30378" 660538367 171.6
"Hordeum vulgare" "chr3H" "11_20858" 981784 0
"Hordeum vulgare" "chr3H" "12_31428" 1106505 0
"Hordeum vulgare" "chr3H" "11_20797" 2352230 5.36
"Hordeum vulgare" "chr3H" "12_31448" 2554266 6.31
"Hordeum vulgare" "chr3H" "12_11434" 2699959 6.31
"Hordeum vulgare" "chr3H" "11_11453" 3438309 8.56
"Hordeum vulgare" "chr3H" "11_20159" 3654549 6.31
"Hordeum vulgare" "chr3H" "11_20252" 3767797 8.91
"Hordeum vulgare" "chr3H" "12_10173" 3771391 8.91
"Hordeum vulgare" "chr3H" "12_31409" 3940968 9.56
"Hordeum vulgare" "chr3H" "11_20529" 5468559 11.01
"Hordeum vulgare" "chr3H" "11_21190" 5931906 11.01
"Hordeum vulgare" "chr3H" "12_11005" 5984955 11.01
"Hordeum vulgare" "chr3H" "11_21398" 5985667 11.01
"Hordeum vulgare" "chr3H" "12_30297" 6098760 11.01
"Hordeum vulgare" "chr3H" "11_21027" 6712278 12.38
"Hordeum vulgare" "chr3H" "11_20976" 6894587 13.13
"Hordeum vulgare" "chr3H" "12_11310" 7099228 13.13
"Hordeum vulgare" "chr3H" "11_10886" 8401791 13.78
"Hordeum vulgare" "chr3H" "11_10112" 8582454 14
"Hordeum vulgare" "chr3H" "11_20595" 9182499 14.91
"Hordeum vulgare" "chr3H" "12_30915" 9204508 14.91
"Hordeum vulgare" "chr3H" "11_20172" 12183857 18.21
"Hordeum vulgare" "chr3H" "11_20742" 13914411 20.52
"Hordeum vulgare" "chr3H" "11_10565" 14063189 21.58
"Hordeum vulgare" "chr3H" "12_30192" 17370066 25.53
"Hordeum vulgare" "chr3H" "11_20552" 18381907 26.23
"Hordeum vulgare" "chr3H" "11_10559" 18653314 26.71
"Hordeum vulgare" "chr3H" "12_30920" 18747788 26.71
"Hordeum vulgare" "chr3H" "11_20794" 18919474 28.02
"Hordeum vulgare" "chr3H" "12_11237" 20110872 29.09
"Hordeum vulgare" "chr3H" "11_20968" 20303470 29.75
"Hordeum vulgare" "chr3H" "11_20455" 20872172 29.75
"Hordeum vulgare" "chr3H" "11_20607" 22666415 32.92
"Hordeum vulgare" "chr3H" "12_30571" 22816921 32.92
"Hordeum vulgare" "chr3H" "12_11414" 23345897 34.15
"Hordeum vulgare" "chr3H" "11_10026" 23348215 34.15
"Hordeum vulgare" "chr3H" "12_11527" 24743223 34.15
"Hordeum vulgare" "chr3H" "12_21268" 24921555 35.95
"Hordeum vulgare" "chr3H" "12_30431" 25334115 35.95
"Hordeum vulgare" "chr3H" "11_10672" 26716241 37.62
"Hordeum vulgare" "chr3H" "12_10968" 28688669 38.91
"Hordeum vulgare" "chr3H" "11_10710" 28870548 39.57
"Hordeum vulgare" "chr3H" "11_10825" 30170226 39.92
"Hordeum vulgare" "chr3H" "12_30953" 30170870 40.99
"Hordeum vulgare" "chr3H" "11_20410" 30265074 39.92
"Hordeum vulgare" "chr3H" "12_31159" 30367538 40.99
"Hordeum vulgare" "chr3H" "12_31298" 30620112 40.99
"Hordeum vulgare" "chr3H" "12_10114" 32313906 42.31
"Hordeum vulgare" "chr3H" "11_20193" 32313937 42.31
"Hordeum vulgare" "chr3H" "11_10863" 32364673 42.31
"Hordeum vulgare" "chr3H" "11_21145" 36220277 42.96
"Hordeum vulgare" "chr3H" "11_20647" 36824471 43.96
"Hordeum vulgare" "chr3H" "11_11002" 38839041 48.02
"Hordeum vulgare" "chr3H" "11_21259" 39882762 48.88
"Hordeum vulgare" "chr3H" "12_21506" 39905775 48.88
"Hordeum vulgare" "chr3H" "12_11117" 39922364 48.88
"Hordeum vulgare" "chr3H" "12_30785" 40754841 49.53
"Hordeum vulgare" "chr3H" "12_31475" 42455803 49.53
"Hordeum vulgare" "chr3H" "12_30064" 45062057 50.19
"Hordeum vulgare" "chr3H" "11_10601" 45352671 50.19
"Hordeum vulgare" "chr3H" "11_20356" 45882009 50.85
"Hordeum vulgare" "chr3H" "11_20719" 51800477 52.17
"Hordeum vulgare" "chr3H" "12_30737" 52898537 59.83
"Hordeum vulgare" "chr3H" "12_30474" 53255596 59.83
"Hordeum vulgare" "chr3H" "11_20328" 53532754 59.83
"Hordeum vulgare" "chr3H" "11_21189" 53887484 52.17
"Hordeum vulgare" "chr3H" "11_21101" 54018688 50.85
"Hordeum vulgare" "chr3H" "12_10532" 56453718 59.83
"Hordeum vulgare" "chr3H" "11_21093" 64024110 59.83
"Hordeum vulgare" "chr3H" "12_30609" 66625213 52.17
"Hordeum vulgare" "chr3H" "12_31122" 68627931 59.83
"Hordeum vulgare" "chr3H" "12_31009" 72721043 50.85
"Hordeum vulgare" "chr3H" "12_11069" 80456670 53.2
"Hordeum vulgare" "chr3H" "12_20264" 86506119 53.2
"Hordeum vulgare" "chr3H" "12_30467" 87954653 53.86
"Hordeum vulgare" "chr3H" "12_30721" 94774216 55.22
"Hordeum vulgare" "chr3H" "11_21402" 95578496 56.54
"Hordeum vulgare" "chr3H" "12_20574" 97202374 67.86
"Hordeum vulgare" "chr3H" "12_30809" 98384887 67.86
"Hordeum vulgare" "chr3H" "12_30583" 102549041 58.51
"Hordeum vulgare" "chr3H" "12_11102" 104442808 59.83
"Hordeum vulgare" "chr3H" "12_31015" 105848215 60.58
"Hordeum vulgare" "chr3H" "12_30922" 106443289 60.58
"Hordeum vulgare" "chr3H" "12_30923" 106443445 60.58
"Hordeum vulgare" "chr3H" "11_10380" 122915111 63.25
"Hordeum vulgare" "chr3H" "12_11387" 123134742 60.58
"Hordeum vulgare" "chr3H" "11_11313" 129259353 63.25
"Hordeum vulgare" "chr3H" "12_11511" 134004306 61.94
"Hordeum vulgare" "chr3H" "11_20639" 138510337 71.26
"Hordeum vulgare" "chr3H" "11_21109" 140254954 63.25
"Hordeum vulgare" "chr3H" "11_21197" 142790877 63.25
"Hordeum vulgare" "chr3H" "12_30680" 142937451 61.94
"Hordeum vulgare" "chr3H" "12_10233" 148015078 63.25
"Hordeum vulgare" "chr3H" "11_20866" 150441200 63.94
"Hordeum vulgare" "chr3H" "12_31008" 162525664 65.25
"Hordeum vulgare" "chr3H" "12_11265" 162708261 65.25
"Hordeum vulgare" "chr3H" "12_30262" 163930948 65.25
"Hordeum vulgare" "chr3H" "11_11502" 165487504 67.86
"Hordeum vulgare" "chr3H" "12_10391" 168886724 65.25
"Hordeum vulgare" "chr3H" "11_11258" 175728855 63.94
"Hordeum vulgare" "chr3H" "11_21129" 178149209 63.94
"Hordeum vulgare" "chr3H" "12_30799" 179136620 63.94
"Hordeum vulgare" "chr3H" "12_11295" 186046917 67.27
"Hordeum vulgare" "chr3H" "12_30618" 192533412 64.6
"Hordeum vulgare" "chr3H" "11_11086" 195229755 64.6
"Hordeum vulgare" "chr3H" "11_11099" 201169306 67.27
"Hordeum vulgare" "chr3H" "12_21411" 206474656 67.27
"Hordeum vulgare" "chr3H" "11_10137" 211932136 67.86
"Hordeum vulgare" "chr3H" "12_30318" 227448329 67.86
"Hordeum vulgare" "chr3H" "11_20970" 230711631 67.86
"Hordeum vulgare" "chr3H" "12_30130" 231909492 67.27
"Hordeum vulgare" "chr3H" "11_11501" 238022030 67.86
"Hordeum vulgare" "chr3H" "12_11518" 241661418 67.86
"Hordeum vulgare" "chr3H" "12_20591" 255356738 67.27
"Hordeum vulgare" "chr3H" "12_30039" 256257355 67.27
"Hordeum vulgare" "chr3H" "11_10328" 266345990 67.86
"Hordeum vulgare" "chr3H" "12_31372" 272492688 65.25
"Hordeum vulgare" "chr3H" "11_10008" 294093156 67.86
"Hordeum vulgare" "chr3H" "11_20439" 298070139 67.27
"Hordeum vulgare" "chr3H" "11_20333" 300767626 67.86
"Hordeum vulgare" "chr3H" "11_20856" 305200599 67.86
"Hordeum vulgare" "chr3H" "11_21062" 307072083 67.27
"Hordeum vulgare" "chr3H" "11_10456" 309567527 67.86
"Hordeum vulgare" "chr3H" "11_20796" 309731967 67.86
"Hordeum vulgare" "chr3H" "11_20428" 313930560 67.86
"Hordeum vulgare" "chr3H" "11_11124" 325510089 67.86
"Hordeum vulgare" "chr3H" "12_10784" 327062774 67.27
"Hordeum vulgare" "chr3H" "12_30126" 330813358 67.86
"Hordeum vulgare" "chr3H" "11_20583" 331639460 66.62
"Hordeum vulgare" "chr3H" "11_11283" 334608386 66.62
"Hordeum vulgare" "chr3H" "11_10437" 335167751 65.25
"Hordeum vulgare" "chr3H" "11_20288" 335170806 65.25
"Hordeum vulgare" "chr3H" "11_21472" 337365090 66.62
"Hordeum vulgare" "chr3H" "11_21147" 339906828 67.27
"Hordeum vulgare" "chr3H" "11_11337" 343075355 67.27
"Hordeum vulgare" "chr3H" "11_10365" 343355778 65.25
"Hordeum vulgare" "chr3H" "11_20801" 346185223 66.62
"Hordeum vulgare" "chr3H" "11_11530" 347605495 66.62
"Hordeum vulgare" "chr3H" "12_11482" 348296291 67.27
"Hordeum vulgare" "chr3H" "12_31502" 349753047 67.27
"Hordeum vulgare" "chr3H" "12_31010" 352804010 67.86
"Hordeum vulgare" "chr3H" "11_20102" 359985232 65.25
"Hordeum vulgare" "chr3H" "11_20890" 363724298 65.25
"Hordeum vulgare" "chr3H" "12_31012" 366242956 65.25
"Hordeum vulgare" "chr3H" "12_31014" 366243242 67.86
"Hordeum vulgare" "chr3H" "11_21435" 366813597 66.62
"Hordeum vulgare" "chr3H" "11_11125" 368092978 66.62
"Hordeum vulgare" "chr3H" "12_20721" 368717729 67.27
"Hordeum vulgare" "chr3H" "12_31214" 370522195 65.25
"Hordeum vulgare" "chr3H" "11_20002" 373546886 65.25
"Hordeum vulgare" "chr3H" "11_10925" 376039592 66.62
"Hordeum vulgare" "chr3H" "11_10620" 377468717 65.25
"Hordeum vulgare" "chr3H" "11_10966" 380308357 65.25
"Hordeum vulgare" "chr3H" "11_20486" 380862691 66.62
"Hordeum vulgare" "chr3H" "11_10349" 387057661 67.27
"Hordeum vulgare" "chr3H" "12_31281" 389370577 67.86
"Hordeum vulgare" "chr3H" "12_31017" 391906604 67.86
"Hordeum vulgare" "chr3H" "11_10926" 394524397 67.86
"Hordeum vulgare" "chr3H" "12_31368" 394964341 67.86
"Hordeum vulgare" "chr3H" "11_20444" 395974748 68.51
"Hordeum vulgare" "chr3H" "11_10011" 397494503 67.86
"Hordeum vulgare" "chr3H" "11_20466" 400025992 48.06
"Hordeum vulgare" "chr3H" "12_20108" 404454626 69.4
"Hordeum vulgare" "chr3H" "11_11401" 405414503 69.05
"Hordeum vulgare" "chr3H" "11_21511" 405962862 71.26
"Hordeum vulgare" "chr3H" "11_10225" 407752988 69.4
"Hordeum vulgare" "chr3H" "12_10678" 413721633 71.26
"Hordeum vulgare" "chr3H" "12_31011" 418182001 71.26
"Hordeum vulgare" "chr3H" "12_31393" 420038794 71.26
"Hordeum vulgare" "chr3H" "11_20276" 424225127 71.26
"Hordeum vulgare" "chr3H" "12_31016" 424919531 71.26
"Hordeum vulgare" "chr3H" "12_11429" 425222236 71.26
"Hordeum vulgare" "chr3H" "11_20325" 427161705 71.26
"Hordeum vulgare" "chr3H" "12_21064" 428619717 71.26
"Hordeum vulgare" "chr3H" "11_11016" 433066223 71.26
"Hordeum vulgare" "chr3H" "11_10653" 435394636 69.4
"Hordeum vulgare" "chr3H" "12_30009" 438101352 69.95
"Hordeum vulgare" "chr3H" "12_10850" 439198413 71.26
"Hordeum vulgare" "chr3H" "11_20995" 439789058 69.95
"Hordeum vulgare" "chr3H" "11_10005" 442002616 71.26
"Hordeum vulgare" "chr3H" "11_10728" 443596700 72.21
"Hordeum vulgare" "chr3H" "12_30829" 445111489 73.3
"Hordeum vulgare" "chr3H" "11_10158" 445111636 73.3
"Hordeum vulgare" "chr3H" "11_10373" 447297461 73.97
"Hordeum vulgare" "chr3H" "11_10281" 450435960 73.3
"Hordeum vulgare" "chr3H" "12_20863" 451897041 73.3
"Hordeum vulgare" "chr3H" "12_11150" 451899862 75.27
"Hordeum vulgare" "chr3H" "12_30088" 453392308 75.27
